="",="(1)",="(2)",="(3)",="(4)",="(5)"
="",="new3_q1_i",="new3_q1_i",="new3_q1_i",="new3_q1_i",="new3_q1_i"
="HighCCEI",="-0.015",="-0.020+",="",="-0.020+",="-0.008"
="",="(0.009)",="(0.010)",="",="(0.010)",="(0.011)"
="post",="",="-0.005",="",="-0.006",=""
="",="",="(0.005)",="",="(0.005)",=""
="HighCCEI_post",="",="0.011",="",="0.011",=""
="",="",="(0.010)",="",="(0.010)",=""
="mathscore_i",="",="",="-0.000",="-0.000",="-0.001"
="",="",="",="(0.000)",="(0.000)",="(0.000)"
="math_diff",="",="",="0.004+",="0.004*",="0.003"
="",="",="",="(0.002)",="(0.002)",="(0.003)"
="height_i",="",="",="-0.000",="-0.000",="0.000"
="",="",="",="(0.000)",="(0.000)",="(.)"
="height_diff",="",="",="-0.000",="-0.000",="0.000"
="",="",="",="(0.000)",="(0.000)",="(.)"
="outgoing_i",="",="",="-0.002",="-0.002",="0.000"
="",="",="",="(0.002)",="(0.002)",="(.)"
="outgoing_diff",="",="",="-0.005",="-0.005",="0.000"
="",="",="",="(0.003)",="(0.003)",="(.)"
="opened_i",="",="",="-0.001",="-0.001",="0.000"
="",="",="",="(0.001)",="(0.001)",="(.)"
="opened_diff",="",="",="0.001",="0.001",="0.000"
="",="",="",="(0.004)",="(0.004)",="(.)"
="agreeable_i",="",="",="-0.002",="-0.002",="0.000"
="",="",="",="(0.001)",="(0.001)",="(.)"
="agreeable_diff",="",="",="-0.002",="-0.002",="0.000"
="",="",="",="(0.004)",="(0.004)",="(.)"
="conscientious_i",="",="",="-0.002",="-0.002",="0.000"
="",="",="",="(0.001)",="(0.001)",="(.)"
="conscientious_diff",="",="",="0.002",="0.002",="0.000"
="",="",="",="(0.003)",="(0.003)",="(.)"
="stable_i",="",="",="-0.001",="-0.001",="0.000"
="",="",="",="(0.001)",="(0.001)",="(.)"
="stable_diff",="",="",="-0.000",="-0.000",="0.000"
="",="",="",="(0.003)",="(0.003)",="(.)"
="1.malepair",="",="",="0.000",="0.000",="0.000"
="",="",="",="(.)",="(.)",="(.)"
="2.malepair",="",="",="0.011",="0.010",="0.000"
="",="",="",="(0.010)",="(0.010)",="(.)"
="3.malepair",="",="",="-0.011",="-0.010",="0.000"
="",="",="",="(0.010)",="(0.010)",="(.)"
="4.malepair",="",="",="0.000",="0.000",="0.000"
="",="",="",="(0.000)",="(0.000)",="(.)"
="inclass_n_friends",="",="",="0.000",="0.000",="-0.000"
="",="",="",="(0.000)",="(0.000)",="(0.000)"
="inclass_n_diff",="",="",="-0.001",="-0.001",="-0.002"
="",="",="",="(0.001)",="(0.001)",="(0.002)"
="inclass_popularity",="",="",="0.000",="0.000",="-0.000"
="",="",="",="(0.000)",="(0.000)",="(0.000)"
="inclass_pop_diff",="",="",="0.002*",="0.002*",="0.001"
="",="",="",="(0.001)",="(0.001)",="(0.002)"
="0.friendship",="",="",="0.000",="0.000",="0.000"
="",="",="",="(.)",="(.)",="(.)"
="1.friendship",="",="",="0.000",="0.000",="0.000"
="",="",="",="(0.000)",="(0.000)",="(0.000)"
="2.friendship",="",="",="0.000",="0.000",="0.000"
="",="",="",="(0.000)",="(0.000)",="(0.000)"
="_cons",="0.507**",="0.510**",="0.525**",="0.535**",="0.505**"
="",="(0.005)",="(0.005)",="(0.018)",="(0.019)",="(0.005)"
="N",="2606",="2606",="2606",="2606",="2604"
="R-squared",="0.004",="0.004",="0.017",="0.021",="0.663"
="Standard errors in parentheses"
="+ p<0.1, * p<0.05, ** p<0.01"
